"id","name","longname","alpha","code","code_two","my_train_code","anglia_code","national_rail_code"
103,"ARNSIDE","Arnside Rail Station","\N","ARN","ARNSIDE","93050670-2d7f-4c3c-bf2b-670a68c70854",NULL,NULL
104,"ARRAM","Arram Rail Station","\N","ARR","ARRAM","fee969e8-c512-476d-8175-5e39236fcdcb",NULL,NULL
106,"ARUNDEL","Arundel Rail Station","\N","ARU","ARUNDEL","9fccf156-eadc-47e3-a3b1-fe21d487c589",NULL,NULL
107,"ASCOT","Ascot Rail Station","\N","ACT","ASCOT","330f23a5-730a-4a98-b342-46d0c4787439",NULL,NULL
109,"ASH","Ash Rail Station","\N","ASH","ASHH","f6871a92-3ccd-4f1f-af47-712120143d4e",NULL,NULL
110,"ASH VALE","Ash Vale Rail Station","\N","AHV","ASHVALE","9e861e3a-919d-4d29-8e34-61afd57a7115",NULL,NULL
111,"ASHBURYS","Ashburys Rail Station","\N","ABY","ASHBRYS","d99bbded-3fec-4540-b339-9eb084dacc51",NULL,NULL
113,"ASHFIELD","Ashfield Rail Station","\N","ASF","ASFIELD","65f0abe7-b4a7-4d24-a770-b86e1224a25c",NULL,NULL
114,"ASHFORD (KENT)","Ashford International Rail Station","ASHFORD (KENT)","AFK","ASHFKY","3d85dfb8-ffd0-459c-b0e1-9d5b30ffb9d2",NULL,NULL
115,"ASHFORD (MIDDLESEX)","Ashford (Surrey) Rail Station","\N","AFS","ASFDMSX","ecdbce0c-5029-4bcb-adc4-7a507e78de41",NULL,NULL
116,"ASHFORD INTERNATIONAL","\N","\N","ASI","ASHFKI","",NULL,NULL
118,"ASHTEAD","Ashtead Rail Station","\N","AHD","ASHD","acad4cd3-cb7c-426d-9f0b-5d18d882eda3",NULL,NULL
119,"ASHTON MOSS METROLINK","\N","\N","AMO","MNCRAML","",NULL,NULL
120,"ASHTON WEST METROLINK","\N","\N","AWL","MNCRAWM","",NULL,NULL
122,"ASHTON-UNDER-LYNE METROLINK","\N","\N","AUL","MNCRALM","",NULL,NULL
123,"ASHURST BALD FACE STAG P.H.","\N","\N","ABF","ASHUBUS","",NULL,NULL
124,"ASHURST KENT","Ashurst (Kent) Rail Station","\N","AHS","ASHURST","467aff70-a0b6-43f9-b7cc-e19d1be29cd2",NULL,NULL
126,"ASHWELL & MORDEN","Ashwell & Morden Rail Station","MORDEN (CAMBS)","AWM","ASHWELC","2083f6f1-e521-4154-88a3-8ce981afe367",NULL,NULL
127,"ASKAM","Askam Rail Station","\N","ASK","ASKAM","a6cc1aa6-655d-4f78-9484-3ddfbcc77ceb",NULL,NULL
129,"ASPATRIA","Aspatria Rail Station","\N","ASP","ASPTRIA","bf6bbed0-76fb-4f30-85d2-aeb7659a15ff",NULL,NULL
130,"ASPLEY GUISE","Aspley Guise Rail Station","\N","APG","ASPLEYG","8ca87195-9567-4c37-a2f3-4da551835daf",NULL,NULL
132,"ATHENRY","\N","\N","ATR","CATZATR","",NULL,NULL
133,"ATHERSTONE","Atherstone Rail Station","\N","ATH","ATHRSTN","263b9972-8bf2-4ebf-bcdf-3cdc86fcdeab",NULL,NULL
134,"ATHERTON","Atherton Rail Station","\N","ATN","ATHERTN","0ce51c8f-7f43-4cb9-b6c0-c1c15e64af15",NULL,NULL
135,"ATHLONE","\N","\N","ATO","CATZATO","",NULL,NULL
136,"ATHY","\N","\N","ATY","CATZATY","",NULL,NULL
138,"ATTENBOROUGH","Attenborough Rail Station","\N","ATB","ATNBRO","9a44cb7b-0273-4e0b-9820-aabdeb26b7cc",NULL,NULL
139,"ATTLEBOROUGH","Attleborough Rail Station","\N","ATL","ATTLBON","82d027f6-d368-43f8-8999-5b0551b5b3ef",NULL,NULL
140,"ATTYMON","\N","\N","ATM","CATZATM","b10751ae-16b1-48b7-8b87-2db3eccbad25",NULL,NULL
142,"AUDENSHAW METROLINK","\N","\N","ASM","MNCRASM","",NULL,NULL
143,"AUDLEY END","Audley End Rail Station","\N","AUD","AUDLEYE","095b3654-76a6-46eb-8577-39aec0445911",NULL,NULL
